Популярные подкатегории,Кол-во продаж по subcategory,Уникальные артикулы в sub,Сумма продаж по subcategory,Всего потрачено на закупку,Средняя цена за единицу,Средняя закупочная цена,Маржа в грн/шт,Общая прибыль,Маржа % ,Markup % (Наценка),Индекс эффективности подкатегории,эффективность наценки,Доход с 1 SKU в подкатегории,Средняя прибыль на 1 SKU
Электроинструменты,16,11,"29 065,00","30 124,60","1807,27","1 847,60","-40,33","-645,24","-2,23%","-2,18%","0,00","1,02","2642,27","-0,27"
Другие аксессуары мото,1,1,"168,00","138,60","168,00","138,60","29,40","29,40","17,50%","21,21%","0,83","0,83","168,00","0,03"
Мебель надувная,2,1,"3 718,00","3 054,00","1859,00","1 527,00","332,00","664,00","17,86%","21,74%","1,64","0,82","3718,00","0,00"
Сумки-холодильники,3,3,"1 271,00","997,20","423,67","332,40","91,27","273,80","21,54%","27,46%","0,78","0,78","423,67","0,03"
Другое для Велосипедов и Электровелосипедов,12,6,"2 091,00","1 418,34","370,56","290,57","79,99","959,83","21,59%","27,53%","1,57","0,78","348,50","0,08"
Энергообеспечение,58,24,"88 585,00","71 442,42","2226,63","1 742,32","484,31","28 089,76","21,75%","27,80%","1,89","0,78","3691,04","0,05"
Навесное оборудование для мотоблоков,9,4,"6 929,00","5 079,06","1145,31","893,24","252,08","2 268,70","22,01%","28,22%","1,75","0,78","1732,25","0,02"
Другие мотозапчасти,180,94,"51 692,00","37 162,08","374,39","286,31","88,08","15 855,30","23,53%","30,77%","1,46","0,76","549,91","1,07"
Двигатели в сборе,23,18,"241 227,00","180 795,76","10680,49","8 133,21","2 547,28","58 587,48","23,85%","31,32%","0,97","0,76","13401,50","0,01"
Двигатели для мотоблоков,19,16,"104 528,00","94 615,50","6979,28","5 309,72","1 669,56","31 721,69","23,92%","31,44%","0,90","0,76","6533,00","0,01"
Другое для мотоблоков,23,13,"4 650,00","3 281,88","293,42","219,92","73,50","1 690,61","25,05%","33,42%","1,33","0,75","357,69","0,18"
Электросамокаты,2,2,"29 773,00","22 304,10","14886,50","11 152,05","3 734,45","7 468,90","25,09%","33,49%","0,75","0,75","14886,50","0,00"
Другое для бензопил,15,9,"1 599,00","1 031,52","121,94","91,33","30,62","459,27","25,11%","33,53%","1,25","0,75","177,67","0,29"
Коробка передач и задний мост,166,41,"76 795,00","52 257,29","1175,62","871,43","304,18","50 494,11","25,87%","34,91%","3,00","0,74","1873,05","0,13"
Мотокомбинезоны,2,2,"9 224,00","6 836,34","4612,00","3 418,17","1 193,83","2 387,66","25,89%","34,93%","0,74","0,74","4612,00","0,00"
Мотокуртки,2,3,"5 129,00","3 984,96","3383,67","2 471,56","912,11","1 824,21","26,96%","36,90%","0,49","0,73","1709,67","0,00"
Газо-балонный инструмент,30,14,"5 595,00","3 625,34","229,27","166,08","63,19","1 895,62","27,56%","38,05%","1,55","0,72","399,64","0,22"
Оборудование для электровелосипеда,22,10,"48 768,00","34 414,80","3725,73","2 664,48","1 061,25","23 347,39","28,48%","39,83%","1,57","0,72","4876,80","0,01"
Другое для фрезы-культиватора,47,13,"15 119,00","10 990,96","373,33","265,31","108,03","5 077,29","28,94%","40,72%","2,57","0,71","1163,00","0,12"
Банданы и шарфы,7,6,"1 059,00","744,66","152,11","107,66","44,45","311,16","29,22%","41,29%","0,83","0,71","176,50","0,13"
Футболки,4,4,"1 653,00","1 176,00","418,00","294,00","124,00","496,00","29,67%","42,18%","0,70","0,70","413,25","0,03"
Карематы,3,2,"2 158,00","1 568,88","710,00","496,14","213,86","641,58","30,12%","43,10%","1,05","0,70","1079,00","0,01"
Измерительный инструмент,65,27,"11 893,00","7 772,83","201,84","141,00","60,84","3 954,84","30,14%","43,15%","1,68","0,70","440,48","0,44"
Трансмиссионные масла,242,40,"125 990,00","76 058,78","945,63","659,60","286,03","69 219,67","30,25%","43,36%","4,22","0,70","3149,75","0,14"
Другое для бензогенераторов,34,6,"17 945,00","11 581,08","1179,87","810,53","369,34","12 557,57","31,30%","45,57%","3,89","0,69","2990,83","0,02"
Сварочное оборудование,9,8,"6 741,00","4 608,30","828,10","567,24","260,86","2 347,78","31,50%","45,99%","0,77","0,68","842,63","0,03"
Аксессуары и комплектующие для инструмента,17,8,"3 023,00","1 923,90","190,38","129,87","60,51","1 028,59","31,78%","46,59%","1,45","0,68","377,88","0,13"
Краски и грунтовки,1 005,286,"176 119,00","117 531,73","187,74","127,07","60,67","60 975,22","32,32%","47,75%","2,38","0,68","615,80","4,71"
Защитная экипировка,65,34,"7 667,00","4 712,22","120,26","81,14","39,12","2 542,91","32,53%","48,21%","1,29","0,67","225,50","0,87"
Диски и обода,181,94,"295 945,00","198 699,69","2007,11","1 352,78","654,33","118 433,89","32,60%","48,37%","1,30","0,67","3148,35","0,14"
Блок цилиндра на мотоблок,663,206,"326 570,00","210 231,94","697,82","466,97","230,85","153 054,21","33,08%","49,44%","2,15","0,67","1585,29","0,89"
Гидравлические масла,79,17,"52 643,00","34 453,98","867,95","580,69","287,25","22 693,10","33,10%","49,47%","3,11","0,67","3096,65","0,06"
Канистры,9,5,"3 834,00","2 594,82","632,77","421,28","211,49","1 903,37","33,42%","50,20%","1,20","0,67","766,80","0,02"
Очистители и промывки,311,37,"50 808,00","30 983,15","190,26","126,62","63,64","19 792,90","33,45%","50,26%","5,59","0,67","1373,19","0,58"
Автотовары,170,110,"28 462,00","18 609,94","179,93","119,35","60,58","10 298,21","33,67%","50,76%","1,03","0,66","258,75","1,82"
Моторные масла,3 209,302,"1 122 217,00","486 692,67","583,65","387,00","196,65","631 048,15","33,69%","50,81%","7,05","0,66","3715,95","1,54"
Мотошины (Покрышки),1 453,318,"1 470 555,00","813 645,79","1227,56","812,95","414,61","602 432,07","33,78%","51,00%","3,03","0,66","4624,39","0,77"
Фонари,12,5,"2 376,00","1 670,10","257,69","170,53","87,15","1 045,84","33,82%","51,11%","1,59","0,66","475,20","0,06"
Амортизаторы,173,11,"50 779,00","33 217,38","327,37","216,64","110,73","19 155,71","33,82%","51,11%","10,41","0,66","4616,27","0,10"
Кузовные части,86,17,"45 446,00","27 932,94","1175,97","777,00","398,97","34 311,24","33,93%","51,35%","3,34","0,66","2673,29","0,04"
